"","time","temp","tga","dta","dta_model",""
"1",0,21.5,21,-2.64,2.1805,-4.8205
"2",1,21.74,21,-2.63,2.27806,-4.90806
"3",2,21.68,21,-2.62,1.96492,-4.58492
"4",3,21.64,21,-2.61,1.67916,-4.28916
"5",4,21.78,21,-2.61,1.63982,-4.24982
"6",5,21.67,21,-2.6,1.25823,-3.85823
"7",6,21.85,21,-2.59,1.27365,-3.86365
"8",7,21.83,21,-2.57,1.01526999999999,-3.58526999999999
"9",8,21.72,21,-2.56,0.633679999999998,-3.19368
"10",9,21.84,21,-2.55,0.566960000000002,-3.11696
"11",10,21.75,21,-2.54,0.21275,-2.75275
"12",11,21.87,21,-2.53,0.146030000000003,-2.67603
"13",12,21.94,21,-2.52,0.010860000000001,-2.53086
"14",13,21.87,21,-2.51,-0.31597,-2.19403
"15",14,22.1,21,-2.51,-0.232099999999996,-2.2779
"16",15,21.98,21,-2.5,-0.627379999999995,-1.87262
"17",16,22.06,21,-2.5,-0.74886,-1.75114
"18",17,22.22,21,-2.5,-0.760820000000002,-1.73918
"19",18,22.11,21,-2.51,-1.14241000000001,-1.36758999999999
"20",19,22.36,21,-2.51,-1.03116,-1.47884
"21",20,22.31,21,-2.52,-1.33061,-1.18939
"22",21,22.3,21,-2.52,-1.5753,-0.944700000000001
"23",22,22.46,21,-2.54,-1.58726,-0.95274
"24",23,22.35,21,-2.55,-1.96885,-0.581150000000004
"25",24,22.5,21,-2.56,-1.9945,-0.565499999999998
"26",25,22.58,21,-2.58,-2.11598,-0.46402
"27",26,22.6,21,-2.59,-2.3196,-0.270399999999999
"28",27,22.96,21,-2.61,-2.05776,-0.552239999999998
"29",28,22.98,21,-2.63,-2.26138,-0.368620000000004
"30",29,23.13,21,-2.65,-2.28703,-0.362969999999998
"31",30,23.26,21,-2.67,-2.34006,-0.329939999999999
"32",31,23.23,21,-2.69,-2.61213,-0.0778699999999994
"33",32,23.51,21,-2.71,-2.45981,-0.250190000000003
"34",33,23.52,21,-2.74,-2.67712,-0.0628800000000052
"35",34,23.62,21,-2.76,-2.77122,0.0112199999999998
"36",35,23.81,21,-2.78,-2.74211,-0.037889999999996
"37",36,23.75,21,-2.81,-3.05525,0.245250000000001
"38",37,24,21,-2.83,-2.944,0.113999999999995
"39",38,23.99,21,-2.86,-3.18869,0.328690000000001
"40",39,24.05,21,-2.88,-3.33755,0.45755
"41",40,24.31,21,-2.91,-3.21261,0.302610000000005
"42",41,24.25,21,-2.94,-3.52575,0.585749999999995
"43",42,24.38,21,-2.96,-3.57878,0.618780000000002
"44",43,24.42,21,-2.99,-3.75502,0.765019999999994
"45",44,24.41,21,-3.03,-3.99971,0.96971
"46",45,24.72,21,-3.06,-3.80632000000001,0.746320000000007
"47",46,24.7,21,-3.09,-4.06470000000001,0.974700000000009
"48",47,24.86,20.99,-3.12,-4.04852999999999,0.928529999999992
"49",48,24.98,20.99,-3.16,-4.11525,0.955249999999996
"50",49,24.95,20.99,-3.19,-4.38732,1.19732
"51",50,25.22,20.99,-3.22,-4.24869,1.02869
"52",51,25.23,20.99,-3.25,-4.46599999999999,1.21599999999999
"53",52,25.33,20.99,-3.28,-4.5601,1.2801
"54",53,25.55,20.99,-3.31,-4.48992,1.17992
"55",54,25.48,20.99,-3.33,-4.81674999999999,1.48674999999999
"56",55,25.74,20.99,-3.37,-4.69181,1.32181
"57",56,25.73,20.99,-3.4,-4.9365,1.5365
"58",57,25.77,20.99,-3.42,-5.11274,1.69274
"59",58,26.02,20.99,-3.45,-5.00149,1.55149
"60",59,26.05,20.99,-3.48,-5.19142,1.71142
"61",60,26.38,20.99,-3.51,-4.97065,1.46065
"62",61,26.57,20.99,-3.54,-4.94154,1.40154
"63",62,26.63,20.99,-3.57,-5.0904,1.5204
"64",63,26.94,20.99,-3.6,-4.89701,1.29701
"65",64,26.94,20.99,-3.63,-5.12801,1.49801
"66",65,27.16,20.99,-3.66,-5.05783,1.39783
"67",66,27.32,20.99,-3.69,-5.06979,1.37979
"68",67,27.35,20.99,-3.72,-5.25971999999999,1.53971999999999
"69",68,27.69,20.99,-3.75,-5.02526,1.27526
"70",69,27.7,20.99,-3.79,-5.24256999999999,1.45256999999999
"71",70,27.81,20.99,-3.81,-5.32298,1.51298
"72",71,28.02,20.99,-3.84,-5.26649,1.42649
"73",72,28.01,20.99,-3.87,-5.51117999999999,1.64117999999999
"74",73,28.33,20.99,-3.9,-5.3041,1.4041
